Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
53.0,,,,,53.0,
41.0,,,2.0,,39.0,
2.0,,,,,2.0,
,,,,,,
82.0,,,,,82.0,
36.0,,,,,36.0,
3.0,,,,,3.0,
5992.0,,322.0,775.0,,4895.0,
,,,,,,
,,,,,,
,,,,,,
18.0,,,,,18.0,
,,,,,,
1.0,,,,,1.0,
16.0,,,,,16.0,
1.0,,,,,1.0,
240.0,,,17.0,,223.0,
27.0,,1.0,,26.0,,
3.0,,,,3.0,,
15.0,,,,,15.0,
361.0,,,,,2.0,359.0
5.0,,,,,4.0,1.0
,,,,,,
1.0,,,,,1.0,
2.0,,,,,2.0,
119.0,,,,,64.0,55.0
16.0,,,,,16.0,
1.0,,,,,1.0,
23.0,,,,,23.0,
2083.0,123.0,,58.0,,1901.0,
1007.0,,,122.0,,885.0,
86.0,4.0,5.0,3.0,,74.0,
313.0,200.0,5.0,31.0,,76.0,
2.0,,,,,2.0,
13.0,,,1.0,,12.0,
,,,,,,
44.0,,,,,44.0,
47.0,,2.0,5.0,,40.0,
7.0,,,,4.0,2.0,
145.0,,,,,145.0,
524.0,360.0,22.0,52.0,,89.0,
3.0,,,,2.0,,
2.0,,,,,2.0,
,,,,,,
72.0,,,4.0,,68.0,
262.0,,23.0,9.0,,230.0,
513.0,,,31.0,,483.0,
461.0,,14.0,24.0,,422.0,
255.0,,,,,255.0,
15.0,,,,15.0,,
90.0,81.0,,,9.0,,
21.0,,1.0,1.0,4.0,16.0,
107.0,,,,,107.0,
,,,,,,
150.0,,,,,150.0,
140.0,,,,,140.0,
75.0,,,,,75.0,
12.0,,,,,12.0,
,,,,,,
8.0,,,,,8.0,
302.0,,,,,254.0,48.0
8.0,,,1.0,,8.0,
38.0,,,,,,38.0
,,,,,,
48.0,,,5.0,,43.0,
,,,,,,
54.0,,2.0,1.0,13.0,38.0,
49.0,8.0,1.0,1.0,,40.0,
413.0,,,42.0,,371.0,
